Zeit t / ms;Frequenz f / Hz;Relativdruck p_B1 / hPa;Weg s_A1 / cm;Volumen V / cm^3;V(f) f_1 / cm^3
0;0;197;3,0473448739821;263,127859933693;535,721536385446
1;0,244140625;207;2,9845130209103;261,349718491762;592,546768792483
2;0,48828125;218;2,91382718620453;259,349309369588;286,681461009346
3;0,732421875;229;2,85099533313274;257,571167927656;68,3299002664559
4;0,9765625;241;2,78816348006094;255,793026485725;15,1171670003873
5;1,220703125;252;2,72533162698915;254,014885043793;9,92760415365104
6;1,46484375;264;2,66249977391735;252,236743601861;8,92751483391019
7;1,708984375;276;2,59966792084555;250,458602159929;7,98488993074645
8;1,953125;289;2,53683606777376;248,680460717997;6,27288293666908
9;2,197265625;302;2,47400421470196;246,902319276066;5,65861101848323
10;2,44140625;315;2,41902634326414;245,346445514375;5,51665940069285
11;2,685546875;329;2,36404847182632;243,790571752685;4,56335888496164
12;2,9296875;343;2,30121661875452;242,012430310753;5,20960580611505
13;3,173828125;357;2,23838476568273;240,234288868821;5,09456764169332
14;3,41796875;372;2,18340689424491;238,678415107131;13,8265176351334
15;3,662109375;386;2,12842902280708;237,12254134544;45,8808519560926
16;3,90625;401;2,07345115136926;235,56666758375;83,668168670032
17;4,150390625;416;2,01061929829747;233,788526141818;98,4012113904438
18;4,39453125;429;1,95564142685965;232,232652380128;71,3928561387945
19;4,638671875;439;1,9085175370558;230,899046298679;32,9702105485931
20;4,8828125;459;1,845685683984;229,120904856747;8,3084122308108
21;5,126953125;475;1,79070781254618;227,565031095057;3,51202580491241
22;5,37109375;490;1,74358392274234;226,231425013608;2,24777950148066
23;5,615234375;503;1,68860605130451;224,675551251918;2,47391116795469
24;5,859375;521;1,64148216150067;223,341945170469;2,02244678300555
25;6,103515625;538;1,59435827169682;222,00833908902;1,86579306265775
26;6,34765625;554;1,54723438189297;220,674733007571;1,90104048712546
27;6,591796875;568;1,50011049208913;219,341126926122;1,49424453851272
28;6,8359375;583;1,46084058391925;218,229788524915;1,71320590416177
29;7,080078125;599;1,40586271248143;216,673914763225;1,52493775439043
30;7,32421875;616;1,36659280431156;215,562576362017;1,40638590755104
31;7,568359375;631;1,32732289614169;214,45123796081;1,55170678310707
32;7,8125;645;1,28019900633784;213,117631879361;2,12035842401321
33;8,056640625;661;1,24092909816797;212,006293478154;3,05354781915359
34;8,30078125;677;1,20951317163207;211,117222757188;3,06098590837103
35;8,544921875;692;1,16238928182822;209,783616675739;2,09216066991172
36;8,7890625;707;1,12311937365835;208,672278274531;1,48500528987624
37;9,033203125;721;1,09170344712245;207,783207553565;1,08785872857888
38;9,27734375;735;1,06028752058656;206,8941368326;1,19668250863717
39;9,521484375;749;1,02101761241668;205,782798431392;1,16023707704418
40;9,765625;762;0,997455667514759;205,115995390668;0,93051554402653
41;10,009765625;776;0,966039740978861;204,226924669702;1,06519106834805
42;10,25390625;788;0,934623814442963;203,337853948736;0,906216254953097
43;10,498046875;801;0,918915851175014;202,893318588253;1,02316495276889
44;10,7421875;813;0,887499924639117;202,004247867287;1,03656325555715
45;10,986328125;825;0,863937979737193;201,337444826563;0,822782569101266
46;11,23046875;837;0,84037603483527;200,670641785838;0,978783986893524
47;11,474609375;848;0,816814089933346;200,003838745114;0,878718397894748
48;11,71875;859;0,793252145031423;199,337035704389;0,987667750282699
49;11,962890625;869;0,777544181763474;198,892500343906;0,932183474266543
50;12,20703125;879;0,75398223686155;198,225697303182;0,928385188893193
51;12,451171875;888;0,738274273593601;197,781161942699;1,08568337801598
52;12,6953125;896;0,722566310325652;197,336626582216;1,1160261969431
53;12,939453125;905;0,714712328691678;197,114358901974;0,833150888814396
54;13,18359375;912;0,699004365423729;196,669823541492;0,810782345997148
55;13,427734375;920;0,691150383789754;196,44755586125;0,677216241189071
56;13,671875;927;0,675442420521805;196,003020500767;0,825104504096799
57;13,916015625;933;0,667588438887831;195,780752820526;0,794089029427292
58;14,16015625;938;0,667588438887831;195,780752820526;0,64058651441767
59;14,404296875;943;0,659734457253857;195,558485140284;0,744960341058889
60;14,6484375;948;0,651880475619882;195,336217460043;0,630938957424843
61;14,892578125;952;0,659734457253857;195,558485140284;0,727195584168676
62;15,13671875;956;0,644026493985908;195,113949779801;0,728375580919976
63;15,380859375;959;0,644026493985908;195,113949779801;0,585281799145576
64;15,625;962;0,651880475619882;195,336217460043;0,70445633392151
65;15,869140625;965;0,644026493985908;195,113949779801;0,624871712691876
66;16,11328125;966;0,651880475619882;195,336217460043;0,636380518593344
67;16,357421875;968;0,651880475619882;195,336217460043;0,67103396678438
68;16,6015625;968;0,659734457253857;195,558485140284;0,545835388988936
69;16,845703125;968;0,667588438887831;195,780752820526;0,671374614216813
70;17,08984375;967;0,667588438887831;195,780752820526;0,624649651858007
71;17,333984375;965;0,691150383789754;196,44755586125;0,554907516973679
72;17,578125;963;0,699004365423729;196,669823541492;0,609870565933783
73;17,822265625;961;0,714712328691678;197,114358901974;0,50293218894083
74;18,06640625;957;0,722566310325652;197,336626582216;0,622454777854483
75;18,310546875;954;0,738274273593601;197,781161942699;0,603781753900003
